mmsi,vessel_name,imo,vessel_type,best_time,distance_km,ais_course,wind_slick_difference_deg,ais_slick_difference_deg,wind_score,ais_score,directional_score,proximity_score,final_attribution_score
367475170,FEDERAL PILOT 1,,90.0,2018-09-26 06:57:57+00:00,35.000564164266656,130.6,4.5789104925043205,76.9,94.9123216749952,14.555555555555543,54.73393861527537,0.0,32.84036316916522
368028770,AB 8,,90.0,2018-09-26 14:24:18+00:00,34.259393488751364,336.7,4.5789104925043205,77.0,94.9123216749952,14.444444444444448,54.67838305971982,0.0,32.80702983583189
249745000,SREDNA GORA,IMO9486570,70.0,2018-09-26 06:03:45+00:00,34.97477535388283,152.6,4.5789104925043205,81.1,94.9123216749952,9.888888888888891,52.40060528194204,0.0,31.440363169165224
366991260,CAPT JOHN E GRAHAM,IMO8988428,90.0,2018-09-26 14:23:50+00:00,36.920301249127554,152.1,4.5789104925043205,81.6,94.9123216749952,9.333333333333337,52.12282750416427,0.0,31.27369650249856
548953000,,,,2018-09-26 23:48:14+00:00,38.7729713641531,331.7,4.5789104925043205,82.0,94.9123216749952,8.888888888888891,51.90060528194204,0.0,31.140363169165223
356423000,TURMOIL,IMO9479838,80.0,2018-09-26 17:50:47+00:00,38.6629562250962,330.0,4.5789104925043205,83.69999999999999,94.9123216749952,7.000000000000018,50.956160837497606,0.0,30.573696502498564
538006970,GH SEABISCUIT,IMO9736640,70.0,2018-09-26 06:24:40+00:00,40.58382080732648,139.5,4.5789104925043205,85.80000000000001,94.9123216749952,4.666666666666652,49.78949417083093,0.0,29.873696502498554
367579840,FMS EAGLE,IMO8203074,90.0,2018-09-26 14:23:39+00:00,25.17745903886744,327.4,4.5789104925043205,86.30000000000001,94.9123216749952,4.111111111111098,49.51171639305315,0.0,29.70702983583189
210998000,SEABOARD VALPARAISO,IMO9393539,70.0,2018-09-26 15:21:16+00:00,39.05610336495973,326.4,4.5789104925043205,87.30000000000001,94.9123216749952,2.9999999999999916,48.95616083749759,0.0,29.373696502498554
548960000,,,,2018-09-26 17:31:41+00:00,38.344796495128904,325.9,4.5789104925043205,87.80000000000001,94.9123216749952,2.444444444444427,48.67838305971981,0.0,29.207029835831886
367166240,,,,2018-09-26 14:23:34+00:00,38.48819266026592,322.9,4.5789104925043205,89.19999999999999,94.9123216749952,0.8888888888889057,47.90060528194205,0.0,28.740363169165228
636014381,ANNA S,IMO9207778,70.0,2018-09-26 23:21:09+00:00,39.25603685140656,323.0,4.5789104925043205,89.30000000000001,94.9123216749952,0.7777777777777661,47.845049726386485,0.0,28.70702983583189
256300000,CMA CGM TANCREDI,IMO9436355,70.0,2018-09-26 06:30:01+00:00,31.430005682158946,143.0,4.5789104925043205,89.30000000000001,94.9123216749952,0.7777777777777661,47.845049726386485,0.0,28.70702983583189
